# ------------------------------------------------------------ 
# Plasmids dataset
# 
# Plasmid data (http://grupos.unican.es/intergenomica/)
#
# @date 2012, APG
# ------------------------------------------------------------
Time        Rate        Source      Plasmid         Density     Gr      Gd      Gt
0           0.09        E           pAR115          50          43      42      53
0.25        0.08        E           pAR115          50          43      42      53
0.5         0.11        E           pAR115          50          43      42      53
1           0.33        E           pAR115          50          43      42      53
1.5         0.59        E           pAR115          50          43      42      53
2           0.77        E           pAR115          50          43      42      53
3           0.89        E           pAR115          50          43      42      53
4           0.94        E           pAR115          50          43      42      53
5           0.91        E           pAR115          50          43      42      53
6           0.94        E           pAR115          50          43      42      53
8           0.99        E           pAR115          50          43      42      53
24          0.95        E           pAR115          50          43      42      53
0           0.15        E           pAR111          50          43      54      72
0.25        0.15        E           pAR111          50          43      54      72
0.5         0.16        E           pAR111          50          43      54      72
1           0.20        E           pAR111          50          43      54      72
1.5         0.25        E           pAR111          50          43      54      72
2           0.29        E           pAR111          50          43      54      72
3           0.45        E           pAR111          50          43      54      72
4           0.64        E           pAR111          50          43      54      72
5           0.74        E           pAR111          50          43      54      72
6           0.82        E           pAR111          50          43      54      72
8           NA          E           pAR111          50          43      54      72
24          0.94        E           pAR111          50          43      54      72
0           0.13        E           pAR113          50          43      42      55
0.25        0.18        E           pAR113          50          43      42      55
0.5         0.13        E           pAR113          50          43      42      55
1           0.11        E           pAR113          50          43      42      55
1.5         0.12        E           pAR113          50          43      42      55
2           0.16        E           pAR113          50          43      42      55
3           0.25        E           pAR113          50          43      42      55
4           0.24        E           pAR113          50          43      42      55
5           0.25        E           pAR113          50          43      42      55
6           0.25        E           pAR113          50          43      42      55
8           0.29        E           pAR113          50          43      42      55
24          0.22        E           pAR113          50          43      42      55
0           0.18        E           pAR109          50          43      47      48
0.25        0.07        E           pAR109          50          43      47      48
0.5         0.11        E           pAR109          50          43      47      48
1           0.13        E           pAR109          50          43      47      48
1.5         0.19        E           pAR109          50          43      47      48
2           0.30        E           pAR109          50          43      47      48
3           0.54        E           pAR109          50          43      47      48
4           0.70        E           pAR109          50          43      47      48
5           0.78        E           pAR109          50          43      47      48
6           0.75        E           pAR109          50          43      47      48
8           NA          E           pAR109          50          43      47      48
24          0.91        E           pAR109          50          43      47      48
0           0.08        E           pAR118          50          43      42      48
0.25        0.07        E           pAR118          50          43      42      48
0.5         0.06        E           pAR118          50          43      42      48
1           0.03        E           pAR118          50          43      42      48
1.5         0.04        E           pAR118          50          43      42      48
2           0.06        E           pAR118          50          43      42      48
3           0.13        E           pAR118          50          43      42      48
4           0.19        E           pAR118          50          43      42      48
5           0.13        E           pAR118          50          43      42      48
6           0.18        E           pAR118          50          43      42      48
8           0.19        E           pAR118          50          43      42      48
24          0.28        E           pAR118          50          43      42      48
0           0.06        E           pAR120          50          43      45      52
0.25        0.05        E           pAR120          50          43      45      52
0.5         0.06        E           pAR120          50          43      45      52
1           0.10        E           pAR120          50          43      45      52
1.5         0.35        E           pAR120          50          43      45      52
2           0.53        E           pAR120          50          43      45      52
3           0.82        E           pAR120          50          43      45      52
4           0.84        E           pAR120          50          43      45      52
5           0.90        E           pAR120          50          43      45      52
6           0.89        E           pAR120          50          43      45      52
8           NA          E           pAR120          50          43      45      52
24          0.96        E           pAR120          50          43      45      52
0           0.03        E           pSU2007         50          43      42      46
0.25        0.02        E           pSU2007         50          43      42      46
0.5         0.02        E           pSU2007         50          43      42      46
1           0.03        E           pSU2007         50          43      42      46
1.5         0.06        E           pSU2007         50          43      42      46
2           0.13        E           pSU2007         50          43      42      46
3           0.27        E           pSU2007         50          43      42      46
4           0.52        E           pSU2007         50          43      42      46
5           0.64        E           pSU2007         50          43      42      46
6           0.69        E           pSU2007         50          43      42      46
8           0.78        E           pSU2007         50          43      42      46
24          0.83        E           pSU2007         50          43      42      46
0           NA          E           pR388           50          43      42      46
0.25        NA          E           pR388           50          43      42      46
0.5         0.06        E           pR388           50          43      42      46
1           0.15        E           pR388           50          43      42      46
1.5         0.22        E           pR388           50          43      42      46
2           0.28        E           pR388           50          43      42      46
3           0.19        E           pR388           50          43      42      46
4           0.49        E           pR388           50          43      42      46
5           0.48        E           pR388           50          43      42      46
6           0.64        E           pR388           50          43      42      46
8           0.68        E           pR388           50          43      42      46
24          0.71        E           pR388           50          43      42      46
0           0.01        E           pAR115          5           43      42      53     
0.25        0.01        E           pAR115          5           43      42      53
0.5         0.01        E           pAR115          5           43      42      53
1           0.06        E           pAR115          5           43      42      53
1.5         0.14        E           pAR115          5           43      42      53
2           0.23        E           pAR115          5           43      42      53
3           0.48        E           pAR115          5           43      42      53
4           0.70        E           pAR115          5           43      42      53
5           0.88        E           pAR115          5           43      42      53
6           0.88        E           pAR115          5           43      42      53
8           0.96        E           pAR115          5           43      42      53
24          0.92        E           pAR115          5           43      42      53
0           0.02        E           pAR111          5           43      54      72
0.25        0.02        E           pAR111          5           43      54      72
0.5         0.01        E           pAR111          5           43      54      72
1           0.03        E           pAR111          5           43      54      72
1.5         0.04        E           pAR111          5           43      54      72
2           0.05        E           pAR111          5           43      54      72
3           0.07        E           pAR111          5           43      54      72
4           0.16        E           pAR111          5           43      54      72
5           0.27        E           pAR111          5           43      54      72
6           0.35        E           pAR111          5           43      54      72
8           0.50        E           pAR111          5           43      54      72
24          0.63        E           pAR111          5           43      54      72
0           0.02        E           pAR113          5           43      42      55
0.25        0.02        E           pAR113          5           43      42      55
0.5         0.02        E           pAR113          5           43      42      55
1           0.01        E           pAR113          5           43      42      55
1.5         0.02        E           pAR113          5           43      42      55
2           0.02        E           pAR113          5           43      42      55
3           0.04        E           pAR113          5           43      42      55
4           0.03        E           pAR113          5           43      42      55
5           0.05        E           pAR113          5           43      42      55
6           0.06        E           pAR113          5           43      42      55
8           0.04        E           pAR113          5           43      42      55
24          0.07        E           pAR113          5           43      42      55
0           0.01        E           pAR109          5           43      47      48
0.25        0.00        E           pAR109          5           43      47      48
0.5         0.00        E           pAR109          5           43      47      48
1           0.00        E           pAR109          5           43      47      48
1.5         0.01        E           pAR109          5           43      47      48
2           0.04        E           pAR109          5           43      47      48
3           0.08        E           pAR109          5           43      47      48
4           0.20        E           pAR109          5           43      47      48
5           0.28        E           pAR109          5           43      47      48
6           0.35        E           pAR109          5           43      47      48
8           0.50        E           pAR109          5           43      47      48
24          0.67        E           pAR109          5           43      47      48
0           0.01        E           pAR118          5           43      42      48
0.25        0.01        E           pAR118          5           43      42      48
0.5         0.01        E           pAR118          5           43      42      48
1           0.00        E           pAR118          5           43      42      48
1.5         0.01        E           pAR118          5           43      42      48
2           0.01        E           pAR118          5           43      42      48
3           0.01        E           pAR118          5           43      42      48
4           0.03        E           pAR118          5           43      42      48
5           0.04        E           pAR118          5           43      42      48
6           0.05        E           pAR118          5           43      42      48
8           0.05        E           pAR118          5           43      42      48
24          0.04        E           pAR118          5           43      42      48
0           0.01        E           pAR120          5           43      45      52
0.25        0.01        E           pAR120          5           43      45      52
0.5         0.01        E           pAR120          5           43      45      52
1           0.01        E           pAR120          5           43      45      52
1.5         0.07        E           pAR120          5           43      45      52
2           0.13        E           pAR120          5           43      45      52
3           0.28        E           pAR120          5           43      45      52
4           0.41        E           pAR120          5           43      45      52
5           0.57        E           pAR120          5           43      45      52
6           0.69        E           pAR120          5           43      45      52
8           0.76        E           pAR120          5           43      45      52
24          0.88        E           pAR120          5           43      45      52
0           0.00        E           pSU2007         5           43      42      46
0.25        0.00        E           pSU2007         5           43      42      46
0.5         0.00        E           pSU2007         5           43      42      46
1           0.01        E           pSU2007         5           43      42      46
1.5         0.01        E           pSU2007         5           43      42      46
2           0.02        E           pSU2007         5           43      42      46
3           0.05        E           pSU2007         5           43      42      46
4           0.18        E           pSU2007         5           43      42      46
5           0.43        E           pSU2007         5           43      42      46
6           0.66        E           pSU2007         5           43      42      46
8           0.82        E           pSU2007         5           43      42      46
24          0.93        E           pSU2007         5           43      42      46
0           NA          E           pR388           5           43      42      46
0.25        NA          E           pR388           5           43      42      46
0.5         0.00        E           pR388           5           43      42      46
1           0.00        E           pR388           5           43      42      46
